SALESDOCUMENT,SALESOFFICE,SALESGROUP,CUSTOMERPAYMENTTERMS,SHIPPINGCONDITION,SALESDOCUMENTTYPE,SALESORGANIZATION,DISTRIBUTIONCHANNEL,ORGANIZATIONDIVISION,BILLINGCOMPANYCODE,TRANSACTIONCURRENCY,CREATIONDATE,CREATIONTIME,HEADERINCOTERMSCLASSIFICATION,SALESDOCUMENTITEM,PLANT,SHIPPINGPOINT,SALESDOCUMENTITEMCATEGORY,PRODUCT,SOLDTOPARTY,SHIPTOPARTY,BILLTOPARTY,PAYERPARTY,ITEMINCOTERMSCLASSIFICATION,ADDRESSID_SOLDTOPARTY,ADDRESSID_BILLTOPARTY,ADDRESSID_PAYERPARTY,ADDRESSID_SHIPTOPARTY
1984611,10,AG,EI08,1,TA,10,10,10,D011,EUR,02-01-2018,11:02:49,DDP,10,1,1,TAN,103632587,6393610865,6393610865,6393610865,6393610865,DDP,3000417249,3000417249,3000417249,3000417249
1984614,10,436,26,1,TA,10,10,10,D011,EUR,03-01-2018,09:10:14,CIP,10,1,1,TAN,5663960850,2781552396,1953914038,2781552396,2781552396,CIP,3000208614,3000208614,3000208614,3000311058
1984696,10,303,32,1,TA,300,10,10,NL30,USD,02-01-2018,09:22:47,DDP,10,310,300,TAN,1461114184,8197936759,6484161189,8197936759,8197936759,DDP,3000205088,3000205088,3000205088,3000983981
1984696,10,303,32,1,TA,300,10,10,NL30,USD,02-01-2018,09:22:47,DDP,20,310,300,ZTCH,1461114184,8197936759,6484161189,8197936759,8197936759,DDP,3000205088,3000205088,3000205088,3000983981
1984697,10,301,33,13,TA,300,10,10,NL30,EUR,02-01-2018,09:58:41,DDP,10,310,300,TAN,163158092,8383348969,8383348969,8383348969,8383348969,DDP,3000337162,3000337162,3000337162,3000337162
1984697,10,301,33,13,TA,300,10,10,NL30,EUR,02-01-2018,09:58:41,DDP,20,310,300,TAN,6833573380,8383348969,8383348969,8383348969,8383348969,DDP,3000337162,3000337162,3000337162,3000337162
1984697,10,301,33,13,TA,300,10,10,NL30,EUR,02-01-2018,09:58:41,DDP,30,310,300,TAN,7590822668,8383348969,8383348969,8383348969,8383348969,DDP,3000337162,3000337162,3000337162,3000337162
1984697,10,301,33,13,TA,300,10,10,NL30,EUR,02-01-2018,09:58:41,DDP,40,310,300,TAN,1215546724,8383348969,8383348969,8383348969,8383348969,DDP,3000337162,3000337162,3000337162,3000337162
1984697,10,301,33,13,TA,300,10,10,NL30,EUR,02-01-2018,09:58:41,DDP,60,310,300,TAN,7020200120,8383348969,8383348969,8383348969,8383348969,DDP,3000337162,3000337162,3000337162,3000337162
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,10,4200,4200,TAN,1057131280,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,20,4200,4200,TAN,1604888323,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,30,4200,4200,TAN,3736544751,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,40,4200,4200,TAN,7725289806,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,50,4200,4200,TAN,5836182489,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,60,4200,4200,TAN,5567451808,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,70,4200,4200,TAN,425382105,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984698,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:27:56,DDP,80,4200,4200,TAN,4278712430,5389539235,5389539235,2977149256,2977149256,DDP,3000223599,3000215140,3000215140,3000223599
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,10,4200,4200,TAN,90421650,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,20,4200,4200,TAN,8836180533,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
1984699,10,341,32,13,ZIA,4200,10,10,DK20,DKK,02-01-2018,10:28:07,DDP,30,4200,4200,TAN,2437622474,6445015801,6445015801,1417658093,1417658093,DDP,3000538104,3000222178,3000222178,3000538104
